StudyNo,EffectID,Author,Year,Journal,Species,Phylum,ExptLifeStage,ManipType,CatchUp,Sex,StageType,AdultDiet,NStartControl,NStartExpt,MeanC,MeanE,SD_C,SD_E
39,1,Barrett,2009,PRSB,Cockroach,Invertebrate,Postnatal,Quality,1.Unk,F,Juv,R,75,57,169.76,110.91,49.29,59.162995
39,2,Barrett,2009,PRSB,Cockroach,Invertebrate,Postnatal,Quality,1.Unk,F,Juv,C,76,57,172.69737,114.67,64,55.215595
39,3,Barrett,2009,PRSB,Cockroach,Invertebrate,Postnatal,Quality,1.Unk,F,Juv,R,75,57,290.81333,287.35,50.67,66.003921
39,4,Barrett,2009,PRSB,Cockroach,Invertebrate,Postnatal,Quality,1.Unk,F,Juv,C,76,57,290.01316,294.37,61.64,55.570622
106,5,Cheney,1983,JGerontol,Mouse,Vertebrate,Postnatal,Quantity,1.Unk,F,Prewean,C,49,40,156.3,157.9,28.7,23.40085469
106,6,Cheney,1983,JGerontol,Mouse,Vertebrate,Postnatal,Quantity,1.Unk,F,Prewean,R,37,33,172,186.6,25.54760263,25.85053191
12,27,Langley-Evans,2006,FEBSLett,Rat,Vertebrate,Prenatal,Quality,2.No,M,Gest,C,12,12,74.1,69,16.97409791,28.05922308
12,28,Langley-Evans,2006,FEBSLett,Rat,Vertebrate,Prenatal,Quality,2.No,M,Gest,C,12,10,74.1,69.7,16.97409791,37.31487639
12,29,Langley-Evans,2006,FEBSLett,Rat,Vertebrate,Prenatal,Quality,2.No,M,Gest,C,12,10,74.1,71.3,16.97409791,23.71708245
12,30,Langley-Evans,2006,FEBSLett,Rat,Vertebrate,Prenatal,Quality,2.No,M,Gest,C,12,12,74.1,82.9,16.97409791,21.13101985
12,31,Langley-Evans,2006,FEBSLett,Rat,Vertebrate,Prenatal,Quality,2.No,F,Gest,C,11,10,90.3,88.6,28.5229732,15.8113883
12,32,Langley-Evans,2006,FEBSLett,Rat,Vertebrate,Prenatal,Quality,2.No,F,Gest,C,11,9,90.3,99.9,28.5229732,23.1
12,33,Langley-Evans,2006,FEBSLett,Rat,Vertebrate,Prenatal,Quality,2.No,F,Gest,C,11,8,90.3,92.2,28.5229732,11.03086579
12,34,Langley-Evans,2006,FEBSLett,Rat,Vertebrate,Prenatal,Quality,2.No,F,Gest,C,11,10,90.3,103.4,28.5229732,32.5714599
57,15,Lynch,1983,ExpGerontol,DaphniaPulex,Invertebrate,Prenatal,Quality,2.No,F,Gest ,C,30,30,48.63333,44.77,20.02,15.953993
57,16,Lynch,1983,ExpGerontol,DaphniaPulex,Invertebrate,Prenatal,Quality,2.No,F,Gest,R,30,30,39.26667,35.47,4.71,25.469026
94,17,Partadiredja,2010,NutNeuroscience,Mouse,Vertebrate,PreNatal-PostNatal,Quantity,3.Yes,F,GestPrewean,C,31,29,569.8,30.7,3075.633034,128.1669224
25,18,Sayer,2001,Gerontol,Rat,Vertebrate,Prenatal,Quality,2.No,F,Gest,C,19,13,97,86,21.79449472,14.4222051
